sep=,

"Intel(R) Advisor Command Line Tool
Copyright (C) 2009-2016 Intel Corporation. All rights reserved."
"Survey Data version=1.1.0","delimiter=,"

"MPI rank:0"

"ID","Function Call Sites and Loops","","Vector Issues","Self Time","Elapsed Time","Total Time","Type","FLOPS And AVX-512 Mask Usage","GFLOPS","AI","Mask Utilization","L1 GB/s","GFLOP","FLOP Per Iteration","L1 GB","L1 Bytes Per Iteration","Why No Vectorization?","Vectorized Loops","Vector ISA","Efficiency","Gain Estimate","VL (Vector Length)","Compiler Estimated Gain","Trip Counts","Trip Counts Average","Trip Counts Min","Trip Counts Max","Trip Counts Call Count","Trip Counts Iteration Duration","Instruction Set Analysis","Traits","Data Types","Number of Vector Registers","Vector Widths","Instruction Sets","Advanced","Transformations","Unroll Factor","Multi-Pumping Factor","Vectorization Details","Optimization Details","Location","Source Location","Module"
"134","[loop in field_gathering_plus_particle_pusher_1_1_1 at particles_push.F90:1295]","1","2 Vector register spilling possible ","0.6199s","0s","0.6199s","Vectorized (Body; [Remainder])","","","","","","","","","","","AVX512; [AVX512]","AVX512; [AVX512]","39.493","3.16x","8; [8]","3.06x","58","58","1","64","21981","< 0.0001s","FMA; Gathers; Mask Manipulations; Shifts; [FMA; Gathers; Mask Manipulations; Shifts]","FMA; Gathers; Mask Manipulations; Shifts;  [FMA; Gathers; Mask Manipulations; Shifts]","Float32; <b>Float64</b>; Int32; Int64; UInt32; UInt64; [Float32; Float64; Int32; Int64; UInt32; UInt64]","28; [32]","256/512; [256/512]","AVX2; AVX512F_512; [AVX2; AVX512F_512]","","","","","SIMD; Unaligned Access in Vector Loop; [Masked Loop Vectorization; SIMD; Unaligned Access in Vector Loop]","","particles_push.F90:1295","particles_push.F90:1295","picsar_carl_advisor"
"22","[child]-[loop in field_gathering_plus_particle_pusher_1_1_1 at particles_push.F90:1295]","1","1 Possible inefficient memory access patterns present ","0.6199s","0.6199s","0.6199s","Vectorized (Body)","523491232","0.844425","0.0724","99.9978","11.6639","0.5235","383.987","7.2309","5303.95","","AVX512","AVX512","","","8","3.06x","58","58","1","64","21981","< 0.0001s","Gathers; Shifts; FMA; Mask Manipulations","FMA; Gathers; Mask Manipulations; Shifts","Float32; <b>Float64</b>; Int32; Int64; UInt32; UInt64","28","256/512","AVX2; AVX512F_512","","","","","SIMD; Unaligned Access in Vector Loop","","particles_push.F90:1295","particles_push.F90:1295","picsar_carl_advisor"
"","[child]-[loop in field_gathering_plus_particle_pusher_1_1_1 at particles_push.F90:1295]","-1","1 Vector register spilling possible ","n/a","n/a","n/a","Vectorized (Remainder) [Not Executed]","205824","","0.0709","48.2448","","0.0002","185.26","0.0029","2613.01","","AVX512","AVX512","","","8","1.23x","1","1","1","1","1111","","Gathers; Shifts; FMA; Mask Manipulations","FMA; Gathers; Mask Manipulations; Shifts","Float32; <b>Float64</b>; Int32; Int64; UInt32; UInt64","32","256/512","AVX2; AVX512F_512","","","","","SIMD; Masked Loop Vectorization; Unaligned Access in Vector Loop","","particles_push.F90:1295","particles_push.F90:1295","picsar_carl_advisor"
"30","[loop in boundary_mp_particle_bcs_tiles_and_mpi_3d_$omp$parallel_for@2845 at boundary.F90:2891]","1","2 Data type conversions present ","0.4738s","0.4738s","0.5420s","Scalar","931155","0.00196539","0.0002","100","8.0495","0.0009","0.0849556","3.8136","347.945","loop control variable was not identified. Explicitly compute the iteration count before executing the loop or try using canonical loop form from OpenMP specification%s","","","","","","","8596","8596","6305","10946","1280","< 0.0001s","Type Conversions; Mask Manipulations","Mask Manipulations; Type Conversions","Float64","12","","","","","","","","","boundary.F90:2891","boundary.F90:2891","picsar_carl_advisor"
"40","[loop in depose_jxjyjz_vechv_vnr_1_1_1 at current_deposition.F90:2730]","1","2 Potential underutilization of FMA instructions ","0.3624s","0.3624s","0.3624s","Scalar","1827436968","5.04195","0.3307","100","15.2459","1.8274","168","5.5258","508","inner loop was already vectorized","","","","","","","1","1","1","8","1360279","< 0.0001s","FMA","FMA","Float64","21","512","AVX512F_512","","","","","","","current_deposition.F90:2730","current_deposition.F90:2730","picsar_carl_advisor"
"135","[loop in field_gathering_plus_particle_pusher_1_1_1 at particles_push.F90:1344]","1","1 Possible inefficient memory access patterns present ","0.2680s","0s","0.2680s","Vectorized (Body; [Remainder])","","","","","","","","","","","AVX512; [AVX512]","AVX512; [AVX512]","39.224","3.14x","8; [8]","3.04x","58","58","1","64","21981","< 0.0001s","FMA; Gathers; Mask Manipulations; Shifts; [FMA; Gathers; Mask Manipulations; Shifts]","FMA; Gathers; Mask Manipulations; Shifts;  [FMA; Gathers; Mask Manipulations; Shifts]","Float32; <b>Float64</b>; Int32; Int64; UInt32; UInt64; [Float32; Float64; Int32; Int64; UInt32; UInt64]","25; [28]","256/512; [256/512]","AVX2; AVX512F_512; [AVX2; AVX512F_512]","","","","","SIMD; Unaligned Access in Vector Loop; [Masked Loop Vectorization; SIMD; Unaligned Access in Vector Loop]","","particles_push.F90:1344","particles_push.F90:1344","picsar_carl_advisor"
"25","[child]-[loop in field_gathering_plus_particle_pusher_1_1_1 at particles_push.F90:1344]","1","1 Possible inefficient memory access patterns present ","0.2680s","0.2680s","0.2680s","Vectorized (Body)","261754176","0.976786","0.0696","100","14.0413","0.2618","192","3.7627","2760","","AVX512","AVX512","","","8","3.04x","58","58","1","64","21981","< 0.0001s","Gathers; Shifts; FMA; Mask Manipulations","FMA; Gathers; Mask Manipulations; Shifts","Float32; <b>Float64</b>; Int32; Int64; UInt32; UInt64","25","256/512","AVX2; AVX512F_512","","","","","SIMD; Unaligned Access in Vector Loop","","particles_push.F90:1344","particles_push.F90:1344","picsar_carl_advisor"
"","[child]-[loop in field_gathering_plus_particle_pusher_1_1_1 at particles_push.F90:1344]","-1","","n/a","n/a","n/a","Vectorized (Remainder) [Not Executed]","102912","","0.0673","48.2448","","0.0001","92.6301","0.0015","1376.82","","AVX512","AVX512","","","8","1.23x","1","1","1","1","1111","","Gathers; Shifts; FMA; Mask Manipulations","FMA; Gathers; Mask Manipulations; Shifts","Float32; <b>Float64</b>; Int32; Int64; UInt32; UInt64","28","256/512","AVX2; AVX512F_512","","","","","SIMD; Masked Loop Vectorization; Unaligned Access in Vector Loop","","particles_push.F90:1344","particles_push.F90:1344","picsar_carl_advisor"
"146","[loop in depose_jxjyjz_vechv_vnr_1_1_1 at current_deposition.F90:2681]","1","4 Vector register spilling possible ","0.1479s","0s","0.1479s","Vectorized (Remainder; [Body])","","","","","","","","","","","AVX512; [AVX512]","AVX512; [AVX512]","80.3335","6.43x","8; [16]","6.45x","1","1","1","1","1360279","< 0.0001s","FMA; Mask Manipulations; Type Conversions; [FMA; Inserts; Shuffles; Type Conversions]","FMA; Mask Manipulations; Type Conversions;  [FMA; Inserts; Shuffles; Type Conversions]","<b>Float64</b>; Int32; UInt32; [Float32; Float64; Int32; UInt32]","32; [31]","256/512; [512]","AVX2; AVX512F_512; [AVX512F_512]","","","","","Masked Loop Vectorization; SIMD; Unaligned Access in Vector Loop; [SIMD; Unaligned Access in Vector Loop]","","current_deposition.F90:2681","current_deposition.F90:2681","picsar_carl_advisor"
"42","[child]-[loop in depose_jxjyjz_vechv_vnr_1_1_1 at current_deposition.F90:2681]","1","2 Vector register spilling possible ","0.1479s","0.1479s","0.1479s","Vectorized (Remainder)","337205631","2.2794","0.1550","99.9574","14.7074","0.3372","247.894","2.1758","1599.5","","AVX512","AVX512","","","8","6.45x","1","1","1","1","1360279","< 0.0001s","Type Conversions; FMA; Mask Manipulations","FMA; Mask Manipulations; Type Conversions","<b>Float64</b>; Int32; UInt32","32","256/512","AVX2; AVX512F_512","","","","","SIMD; Masked Loop Vectorization; Unaligned Access in Vector Loop","","current_deposition.F90:2681","current_deposition.F90:2681","picsar_carl_advisor"
