sep=,

"Intel(R) Advisor Command Line Tool
Copyright (C) 2009-2016 Intel Corporation. All rights reserved."
"Survey Data version=1.1.0","delimiter=,"

"MPI rank:0"

"ID","Function Call Sites and Loops","","Vector Issues","Self Time","Elapsed Time","Total Time","Type","FLOPS And AVX-512 Mask Usage","GFLOPS","AI","Mask Utilization","L1 GB/s","GFLOP","FLOP Per Iteration","L1 GB","L1 Bytes Per Iteration","Why No Vectorization?","Vectorized Loops","Vector ISA","Efficiency","Gain Estimate","VL (Vector Length)","Compiler Estimated Gain","Trip Counts","Trip Counts Median","Trip Counts Min","Trip Counts Max","Trip Counts Call Count","Trip Counts Iteration Duration","Instruction Set Analysis","Traits","Data Types","Number of Vector Registers","Vector Widths","Instruction Sets","Advanced","Transformations","Unroll Factor","Vectorization Details","Optimization Details","Location","Source Location","Module"
"147","[loop in pushe_1step2_vec_$omp$parallel_for@55 at pushe_1step2_vec.F90:94]","1","1 Opportunity for outer loop vectorization ","7.4756s","0.8317s","7.4756s","Scalar","","","","","106.3828","","","88.4736","48","inner loop was already vectorized","","","","","","","256","256","256","256","7200000","< 0.0001s","","","Float64","1","512","AVX512F_512","","","","","","pushe_1step2_vec.F90:94","pushe_1step2_vec.F90:94","xgc2"
"168","[loop in search_tr2_vec at search.F90:848]","1","1 Potential underutilization of FMA instructions ","3.2402s","0.2999s","3.2402s","Scalar","695571880","2.31908","0.1923","100","12.0592","0.6956","13.5891","3.6170","70.6635","loop with multiple exits cannot be vectorized unless it meets search loop idiom criteria","","","","","","","2","2","0","12","18371325","< 0.0001s","FMA; Mask Manipulations","FMA; Mask Manipulations","Float64","13","","","","","","","","search.F90:848","search.F90:848","xgc2"
"149","[loop in efield_gk_elec2_vec at efield_gk_elec2_vec.F90:110]","1","1 Opportunity for outer loop vectorization ","2.8777s","0.2719s","3.0377s","Scalar","1188000000","4.36879","0.2750","64.2857","15.8865","1.1880","33","4.3200","120","inner loop was already vectorized","","","","","","","256","256","248","256","140640","< 0.0001s","Square Roots; Extracts; FMA; Mantissa extractions; Exponent extractions; Reciprocal CPs(AVX-512ER)","Appr. Reciprocals(AVX-512ER); Exponent extractions; Extracts; FMA; Mantissa extractions; Square Roots","Float32; Float64; UInt64","23","256/512","AVX; AVX512F_512","","","","","","efield_gk_elec2_vec.F90:110","efield_gk_elec2_vec.F90:110","xgc2"
"433","[loop in get_acoef_vec at bicub_mod.F90:1490]","1","2 Vector register spilling possible ","2.3649s","0s","2.3649s","Vectorized (Body; [Peeled; Remainder])","","","","","","","","","","1 vectorization possible but seems inefficient. Use vector always directive or -vec-threshold0 to override ","AVX512","AVX512","18.9836","1.52x","8","1.51x","32","32","31","32","365664","< 0.0001s","2-Source Permutes; Blends; Inserts; Shifts","2-Source Permutes; Blends; Inserts; Shifts","Float32; <b>Float64</b>; Int32; Int64; UInt32; UInt64","32; [0]","256/512","AVX; AVX512F_512","","","","Cost Model Was Ignored; Dependency Analysis Was Ignored; SIMD; Unaligned Access in Vector Loop; [Cost Model Was Ignored; Dependency Analysis Was Ignored; SIMD]","","bicub_mod.F90:1490","bicub_mod.F90:1490","xgc2"
"161","[child]-[loop in get_acoef_vec at bicub_mod.F90:1490]","1","2 Vector register spilling possible ","2.3649s","0.2278s","2.3649s","Vectorized (Body)","","","","","138.0641","","","31.4496","2688","","AVX512","AVX512","","","8","1.51x","32","32","31","32","365664","< 0.0001s","Blends; Inserts; Shifts; 2-Source Permutes","2-Source Permutes; Blends; Inserts; Shifts","Float32; <b>Float64</b>; Int32; Int64; UInt32; UInt64","32","256/512","AVX; AVX512F_512","","","","SIMD; Unaligned Access in Vector Loop; Dependency Analysis Was Ignored; Cost Model Was Ignored","","bicub_mod.F90:1490","bicub_mod.F90:1490","xgc2"
"","[child]-[loop in get_acoef_vec at bicub_mod.F90:1490]","-1","","n/a","n/a","n/a","Peeled [Not Executed]","","","","","","","","","","vectorization possible but seems inefficient. Use vector always directive or -vec-threshold0 to override ","","","","","","","","","","","","","","","","0","","","","","","SIMD; Dependency Analysis Was Ignored; Cost Model Was Ignored","","bicub_mod.F90:1490","bicub_mod.F90:1490","xgc2"
"","[child]-[loop in get_acoef_vec at bicub_mod.F90:1490]","-1","","n/a","n/a","n/a","Remainder [Not Executed]","","","","","","","","","","vectorization possible but seems inefficient. Use vector always directive or -vec-threshold0 to override ","","","","","","","","","","","","","","","","0","","","","","","SIMD; Dependency Analysis Was Ignored; Cost Model Was Ignored","","bicub_mod.F90:1490","bicub_mod.F90:1490","xgc2"
"476","[loop in efield_gk_elec2_vec at efield_gk_elec2_vec.F90:61]","1","1 Possible inefficient memory access patterns present ","2.2096s","0s","2.2096s","Vectorized (Body; [Peeled; Remainder])","","","","","","","","","","","AVX512; [AVX512]","AVX512; [AVX512]","11.014","1.76x","16; [8]","1.76x","16","16","15","16","421920","< 0.0001s","2-Source Permutes; FMA; Gathers; Mask Manipulations; Scatters; Shifts; [2-Source Permutes; FMA; Gathers; Mask Manipulations; Scatters; Shifts]","2-Source Permutes; FMA; Gathers; Mask Manipulations; Scatters; Shifts;  [2-Source Permutes; FMA; Gathers; Mask Manipulations; Scatters; Shifts]","<b>Float32</b>; Float64; Int32; Int64; UInt32; UInt64; [Float32; Float64; Int32; Int64; UInt32; UInt64]","29; [26]","512; [256/512]","AVX512F_512; [AVX2; AVX512F_512]","","","","Cost Model Was Ignored; Dependency Analysis Was Ignored; SIMD; Unaligned Access in Vector Loop; [Cost Model Was Ignored; Dependency Analysis Was Ignored; Masked Loop Vectorization; SIMD; Unaligned Access in Vector Loop]","","efield_gk_elec2_vec.F90:61","efield_gk_elec2_vec.F90:61","xgc2"
"153","[child]-[loop in efield_gk_elec2_vec at efield_gk_elec2_vec.F90:61]","1","1 Possible inefficient memory access patterns present ","2.2096s","0.2080s","2.2096s","Vectorized (Body)","1619827200","7.78634","0.1105","100","70.4664","1.6198","240","14.6594","2172","","AVX512","AVX512","","","16","1.76x","16","16","15","16","421920","< 0.0001s","Gathers; Shifts; FMA; 2-Source Permutes; Scatters; Mask Manipulations","2-Source Permutes; FMA; Gathers; Mask Manipulations; Scatters; Shifts","<b>Float32</b>; Float64; Int32; Int64; UInt32; UInt64","29","512","AVX512F_512","","","","SIMD; Unaligned Access in Vector Loop; Dependency Analysis Was Ignored; Cost Model Was Ignored","","efield_gk_elec2_vec.F90:61","efield_gk_elec2_vec.F90:61","xgc2"
"","[child]-[loop in efield_gk_elec2_vec at efield_gk_elec2_vec.F90:61]","-1","","n/a","n/a","n/a","Vectorized (Peeled) [Not Executed]","","","","","","","","","","","AVX512","AVX512","","","8","1.06x","","","","","","","Gathers; Shifts; FMA; 2-Source Permutes; Scatters; Mask Manipulations","2-Source Permutes; FMA; Gathers; Mask Manipulations; Scatters; Shifts","Float32; <b>Float64</b>; Int32; Int64; UInt32; UInt64","26","256/512","AVX2; AVX512F_512","","","","SIMD; Masked Loop Vectorization; Unaligned Access in Vector Loop; Dependency Analysis Was Ignored; Cost Model Was Ignored","","efield_gk_elec2_vec.F90:61","efield_gk_elec2_vec.F90:61","xgc2"
